NAME,EBIT(t-1),PB(t-1),QR(t-1),DA(t-1),TATO(t-1),ROS(t-1),OCFTD(t-1),EBIT(t-2),PB(t-2),QR(t-2),DA(t-2),TATO(t-2),ROS(t-2),OCFTD(t-2),TARGET
SRF,74,1.2,0.8,69.08,0.5,3.66,0.7,92,0.9,0.9,72.6,0.76,2.89,0.42,0
SSC,51,1.8,1.8,29.05,0.94,8.87,34.29,95,2.3,2,30.59,1.29,12.11,31.03,0
SSC,66,1.3,2,27.43,0.6,17.42,48.23,51,1.8,1.8,29.05,0.94,8.87,34.29,0
SSI,4395,5,1.3,72,0.15,36.21,-28.49,2387,3.1,1.1,72.4,0.12,28.76,-47.4,0
ST8,22,0.7,1.6,38.72,2.15,1.4,28.64,33,1.6,1.6,27.37,3.41,1.55,0,0
ST8,20,0.9,1.5,30.87,1.66,1.78,-25.34,22,0.7,1.6,38.72,2.15,1.4,28.64,0
STG,159,1,1.6,29.71,0.87,5.81,29.93,161,1.1,2.2,25.27,0.81,6.7,25.74,0
STG,317,1.6,1.6,29.77,1.08,8.56,32.54,159,1,1.6,29.71,0.87,5.81,29.93,0
STK,180,1.3,0.4,36.47,1.04,8.15,71.82,284,1,0.4,47.71,1.08,9.6,17.31,0
STK,291,3.1,0.7,36.12,1.04,13.61,40.73,180,1.3,0.4,36.47,1.04,8.15,71.82,0
SVC,364,3.6,0.6,59.07,3.77,1.4,36.87,405,0.9,0.4,65.31,3.86,1.28,-1.36,0
SVC,334,2.6,0.5,57.78,3.2,1.49,-5.31,364,3.6,0.6,59.07,3.77,1.4,36.87,0
SVI,193,1.9,1.2,47.93,1.55,8.65,22.41,192,1.7,1.2,48.67,1.88,8.27,54.32,0
SVI,121,1.4,1.2,45.34,1.58,5.01,23,193,1.9,1.2,47.93,1.55,8.65,22.41,0
SVT,33,0.8,40,0.57,0.5,36.36,800,10,0.5,42.8,0,0.61,11.49,1365,0
SVT,35,1.1,38.9,0.54,0.59,31.19,1700,33,0.8,40,0.57,0.5,36.36,800,0
SZC,228,2.4,0.2,71.39,0.1,42.96,19.37,166,1.4,1.3,61.29,0.11,40.73,30.2,0
SZC,404,4.6,0.3,73.91,0.13,45.44,16.96,228,2.4,0.2,71.39,0.1,42.96,19.37,0
SZL,124,1.7,4.3,66.55,0.22,28.41,14.09,127,1,4.6,56.81,0.23,27.76,10.75,0
SZL,124,1.8,2.2,64.91,0.23,26.03,9.3,124,1.7,4.3,66.55,0.22,28.41,14.09,0
TBC,296,1.4,3.6,22.89,0.33,40.9,92.62,173,1.3,2,30.16,0.18,43.1,51.52,0
TBC,271,1.8,2.1,22.74,0.31,42.22,87.99,296,1.4,3.6,22.89,0.33,40.9,92.62,0
TCD,252,2.7,0.8,89.41,0.46,5.15,-3.73,148,2.6,0.4,71.47,0.88,5.58,20.39,0
TCD,498,5,1,77.99,0.54,10.8,2.76,252,2.7,0.8,89.41,0.46,5.15,-3.73,0
TCH,1321,2.1,3.9,24.45,0.42,21.99,-44.55,687,3.7,0.8,45.47,0.21,31.3,39.91,0
TCH,881,1.6,5.7,15.12,0.15,28.87,2.86,1321,2.1,3.9,24.45,0.42,21.99,-44.55,0
TCL,124,1.2,1.6,32.88,1.15,9.17,32.69,124,0.5,2.3,27.14,0.89,10.5,57.79,0
TCL,142,2,1.5,34.72,1.34,9.53,-6.17,124,1.2,1.6,32.88,1.15,9.17,32.69,0
TCM,371,2,0.6,44.96,1.17,7.95,28.92,323,0.8,0.5,51.25,1.25,5.95,35.18,0
TCM,197,2.7,0.5,52.63,0.98,4.07,-4.69,371,2,0.6,44.96,1.17,7.95,28.92,0
TCO,21,1,6.1,9.09,0.77,10.59,55,21,1,7.2,8.41,0.75,9.94,155.56,0
TCO,55,1.5,5.4,17.99,0.64,19.34,-139.71,21,1,6.1,9.09,0.77,10.59,55,0
TCR,-10,0.4,0.6,50,1,-3.37,7.63,36,0.2,0.5,53.3,1.08,0.73,29.02,1
TCR,24,0.8,0.5,51.89,0.96,1.18,5.13,-10,0.4,0.6,50,1,-3.37,7.63,1
TCT,2,1.3,11.3,7.38,0.13,2.33,33.33,84,1.5,12.5,5.98,0.48,37.85,400,0
TCT,2,1.6,25.1,3.57,0.12,5.56,36.36,2,1.3,11.3,7.38,0.13,2.33,33.33,0
TDC,423,1.2,0.1,77.33,0.28,12.66,8.32,432,0.6,0.1,80.14,0.25,9.85,13.35,0
TDC,329,2.2,0.2,75.57,0.32,7.48,-1.09,423,1.2,0.1,77.33,0.28,12.66,8.32,0
TDG,33,0.9,0.9,62.35,2.55,1.1,-3.37,14,0.2,0.9,55.18,1.81,0.12,-7.76,0
TDH,135,0.7,1.1,53.48,0.36,1.17,5.55,295,0.5,0.6,51.96,0.74,4.53,-0.18,0
TDH,-767,3.4,0.6,66.29,0.26,-182.75,-17.12,135,0.7,1.1,53.48,0.36,1.17,5.55,1
TDM,216,1.6,0.5,30.46,0.16,44.82,34.9,253,1.5,1.8,32.94,0.15,58.96,22.35,0
TDM,366,1.8,0.6,23.24,0.17,78.9,61.72,216,1.6,0.5,30.46,0.16,44.82,34.9,0
TDP,175,3.3,0.4,65.52,0.75,5.31,4.59,128,1.4,0.4,65.32,0.74,5.18,-10.07,0
TDP,218,2.2,0.5,73.71,0.89,3.57,0.54,175,3.3,0.4,65.52,0.75,5.31,4.59,0
TDW,50,1.4,0.9,62.83,2.23,3.47,52.82,31,1.3,0.7,60.74,2.25,2.24,36.24,0
TDW,44,1.7,0.9,52.65,2.75,3.08,-3.52,50,1.4,0.9,62.83,2.23,3.47,52.82,0
TEG,13,0.8,1.2,20.53,0.38,3.72,36.21,10,0.8,1.8,20.08,0.3,3.16,67.29,0
TEG,65,1.3,2.1,24.98,0.2,18.8,-63.07,13,0.8,1.2,20.53,0.38,3.72,36.21,0
TGG,-43,0.1,5,6.23,0.04,-430,-6.25,1,0.2,6.3,6.89,0.16,2.04,19.05,0
TGG,118,1.5,1.1,49.88,0.96,12.22,-0.24,-43,0.1,5,6.23,0.04,-430,-6.25,0
THG,214,1.6,0.6,65.98,1.23,9.48,23.54,149,1.3,0.7,67.87,1.04,8.34,18.51,0
THG,176,2.4,0.7,65.87,0.85,9.78,9.85,214,1.6,0.6,65.98,1.23,9.48,23.54,0
THI,297,1.1,1,59.17,0.86,5.65,17.03,322,1.1,0.9,61.02,0.94,5.76,-28.96,0
THI,204,1,0.7,55.51,0.74,3.86,8.21,297,1.1,1,59.17,0.86,5.65,17.03,0
TIP,172,4.5,1.4,40.12,0.26,52.87,40.49,114,1.1,2.5,36.29,0.27,41.47,29.83,0
TIP,125,3.9,6,27.71,0.26,37.65,61.65,172,4.5,1.4,40.12,0.26,52.87,40.49,0
TIX,110,1.1,3.7,32.04,0.17,49.19,30.14,109,1,3.5,30.68,0.19,42.44,16.37,0
TIX,154,1.2,5.3,30.97,0.22,46.62,27.79,110,1.1,3.7,32.04,0.17,49.19,30.14,0
TLD,28,0.9,1.3,29.55,0.6,5.32,-24.86,19,0.9,0.7,51.8,0.72,4.14,8.2,0
TLD,26,2.1,1.6,27.11,0.66,4.35,15.88,28,0.9,1.3,29.55,0.6,5.32,-24.86,0
TLG,316,1.6,2.3,24.45,1.16,8.94,65.19,448,1.5,2.3,25.24,1.35,10.73,42.3,0
TLG,366,1.8,2,25.39,1.09,10.38,35.59,316,1.6,2.3,24.45,1.16,8.94,65.19,0
TLH,176,0.5,0.4,46.65,1.47,1.93,31.92,-62,0.3,0.4,59.11,1.51,-2.71,-10.32,0
TLH,604,1,0.4,54.28,1.11,9.82,-18.8,176,0.5,0.4,46.65,1.47,1.93,31.92,0
TMP,236,1.6,7,22.89,0.22,41.31,51.94,485,1.4,7.6,15.48,0.38,56.61,101.09,0
TMP,463,2.5,4.8,29.55,0.38,48.13,59.35,236,1.6,7,22.89,0.22,41.31,51.94,0
TMS,408,1.6,1.3,40.13,0.87,9.42,17.86,322,1,1.3,41.18,0.71,9.62,6.97,0
TMS,751,2.6,1.5,39.13,1.11,9.73,0.62,408,1.6,1.3,40.13,0.87,9.42,17.86,0
TMT,66,0.4,0.2,75.51,1.02,0.11,33.67,74,0.5,0.2,73.85,0.85,0.3,4.17,0
TMT,96,1.4,0.3,85.29,0.81,1.63,-4.81,66,0.4,0.2,75.51,1.02,0.11,33.67,0
TN1,152,3.2,1.3,63.46,0.34,19.64,2.75,146,3.3,1.5,46.96,0.91,19.68,30.38,0
TN1,147,1.7,1.7,46.92,0.45,15.02,-71.92,152,3.2,1.3,63.46,0.34,19.64,2.75,0
TNA,145,1,0.6,73.46,2.46,0.82,-15.86,239,1.6,0.7,68.02,2.65,2.87,1.43,0
TNA,117,1.4,0.6,75.32,2.33,0.35,5.17,145,1,0.6,73.46,2.46,0.82,-15.86,0
TNC,57,1.6,8.2,10.16,0.14,101.85,20.51,39,0.9,9.6,7.91,0.17,63.33,-75,0
TNC,42,2,4.8,12.18,0.18,55.71,-21.28,57,1.6,8.2,10.16,0.14,101.85,20.51,0
TNI,29,0.3,1.8,45.71,1.34,0,-15.15,46,0.9,1.2,55.64,1.39,1.03,-5.95,1
TNI,7,0.8,1.4,49.16,1.69,-0.84,-17.36,29,0.3,1.8,45.71,1.34,0,-15.15,1
TNT,-3,0.4,2.5,24.08,0.04,-23.08,-1.18,7,0.3,4.4,10.86,0.58,1.14,-54.55,0
TNT,37,1.8,14.7,5.8,1.09,4.68,-335.29,-3,0.4,2.5,24.08,0.04,-23.08,-1.18,0
TPC,35,0.6,0.8,51.64,1.24,2.53,19.61,34,0.5,0.8,49.7,1.17,2.69,22.05,0
TPC,25,0.7,0.7,55.01,1.2,1.67,4.13,35,0.6,0.8,51.64,1.24,2.53,19.61,0
TRA,278,2.5,1.5,28.95,1.16,11.37,72.38,233,2.2,1.5,28.82,1.09,10,47.9,0
TRA,336,3.1,1.6,25.78,1.27,12.22,65.91,278,2.5,1.5,28.95,1.16,11.37,72.38,0
TRC,112,0.7,2.5,21.23,0.18,25.41,4.04,99,0.6,2.3,22.21,0.17,24.85,-8.7,0
TRC,119,0.8,1.8,20.97,0.21,23.26,5.07,112,0.7,2.5,21.23,0.18,25.41,4.04,0
TSC,22,0.4,6.1,7.88,0.23,3.7,18.47,8,0.3,3,6.18,0.21,0.24,18.33,0
TSC,141,1.7,3.5,12.55,0.22,25.53,-11.07,22,0.4,6.1,7.88,0.23,3.7,18.47,0
TTA,350,1.4,0.4,62.98,0.14,20.12,10.89,307,1.6,0.2,65.02,0.11,26.01,13.68,0
TTB,28,1.1,1.2,60.8,0.36,2.4,6.26,54,0.4,1.5,56.61,0.42,6.36,6.3,0
TTB,22,2.1,0.7,60.86,0.96,0.52,26.86,28,1.1,1.2,60.8,0.36,2.4,6.26,0
TTE,40,1.1,0.5,71.43,0.12,-29.2,-1.48,89,1.2,0.8,67.96,0.18,6.7,9.69,0
TTE,95,2,1,72.7,0.13,19.58,9.89,40,1.1,0.5,71.43,0.12,-29.2,-1.48,0
TTF,134,-5.3,0.3,126.1,0.54,1.48,-6.02,-888,-1.8,0.3,129.4,0.34,-139.11,0.79,0
TTF,58,9.5,0.5,83.97,0.57,0.19,-10.62,134,-5.3,0.3,126.1,0.54,1.48,-6.02,0
TV2,331,2.4,1.5,65.02,1,7.83,23.14,322,2,1.2,60.11,1.42,7.68,-14.61,0
TV2,344,2.3,1.1,69.19,0.81,7.5,-8.83,331,2.4,1.5,65.02,1,7.83,23.14,0
TVB,393,1.9,6.9,24.04,0.24,69.59,-91.24,108,1.8,6.8,37.25,0.16,46.15,-24.86,0
TVS,734,3.8,1.3,75.58,0.14,49.62,-9.63,397,1.1,1.5,66.56,0.16,36.69,-20.36,0
TVT,132,0.9,0.8,63.26,1.15,4.09,33.1,148,0.8,0.6,64.07,1.32,4.17,19.71,0
TVT,142,1,0.8,54.71,1.06,5.96,15.24,132,0.9,0.8,63.26,1.15,4.09,33.1,0
TYA,103,0.9,1.3,46.41,1.86,4.35,35.75,126,0.7,1.1,47.59,2.06,4.73,-15.17,0
TYA,97,1.1,0.8,59.79,1.75,3.15,-26.82,103,0.9,1.3,46.41,1.86,4.35,35.75,0
UDC,24,0.6,0.6,63.9,0.39,-2.1,-3.28,40,0.4,0.5,61.41,0.38,1,3.67,1
UDC,6,1.1,0.6,64.44,0.29,-6.93,9.32,24,0.6,0.6,63.9,0.39,-2.1,-3.28,1
UIC,75,1.2,0.9,43.33,5.12,2.3,27.6,76,0.9,1.1,38.89,5.88,2.18,45.05,0
UIC,70,1.4,1.2,25.45,5.52,2.22,50.88,75,1.2,0.9,43.33,5.12,2.3,27.6,0
VAF,27,0.8,1.6,22.15,1.27,2.95,9.23,18,0.8,1.3,22.38,1.39,1.51,-49.22,1
VAF,35,1,1.2,30.43,1.26,3.34,76.85,27,0.8,1.6,22.15,1.27,2.95,9.23,0
VCA,53,0.9,0.5,58.38,4.51,1.38,-73.37,33,0.6,1.2,29.07,6.9,0.97,331.87,0
VCF,915,3.6,2.2,29.69,1.36,24.85,247.39,810,2.9,1.9,35.19,1.39,21.89,84.16,0
VCF,554,4.9,1.9,35.1,1.14,19.35,86.68,915,3.6,2.2,29.69,1.36,24.85,247.39,0
VCG,2382,2.9,1.2,63.47,0.28,30.44,-0.2,1232,1.7,1.3,59.94,0.49,8.28,-12.89,0
VCG,1225,3.3,1.2,75.37,0.19,9.05,1.69,2382,2.9,1.2,63.47,0.28,30.44,-0.2,0
VCI,2182,3.6,1.7,60.68,0.22,40.44,-37.15,1125,2.1,2.2,46.06,0.21,44.45,-14.81,0
VDP,72,0.9,1.1,39.29,0.77,7.29,-4.55,62,1.1,1.4,35.9,0.93,7.11,-13.03,0
VDP,90,1,0.9,43.31,0.76,7.64,-7.61,72,0.9,1.1,39.29,0.77,7.29,-4.55,0
VDS,534,3,1.7,59.19,0.25,41.78,-41.22,193,1.2,1.8,54.63,0.18,33.04,5.7,0
VFG,220,1.1,0.9,47.39,1.02,8.65,-11.58,191,1.4,0.7,60.18,0.91,6.86,23.73,1
VFG,210,1.2,1.1,46.72,1.1,7.95,87.88,220,1.1,0.9,47.39,1.02,8.65,-11.58,0
VGC,1002,1.7,0.5,67.06,0.44,7.07,19.39,1139,1.2,0.7,64.53,0.51,7.48,29.56,0
VGC,1702,3.1,0.5,62.01,0.51,11.43,35.15,1002,1.7,0.5,67.06,0.44,7.07,19.39,0
VHC,841,1.4,1.7,28.13,0.98,10.22,19.35,1369,1.4,1.9,26.24,1.19,14.99,85.82,0
VHC,1315,1.9,1.4,32.66,1.04,12.23,11.63,841,1.4,1.7,28.13,0.98,10.22,19.35,0
VHM,39519,3.4,0.6,58.61,0.33,39.42,19.72,32124,5,0.7,67.19,0.26,47.11,39.18,0
VHM,50531,2.8,0.9,42.99,0.37,45.83,17.23,39519,3.4,0.6,58.61,0.33,39.42,19.72,0
VIC,25345,4.6,0.6,67.85,0.26,4.11,5.57,22784,5.1,0.6,70.13,0.32,5.93,5.64,1
VIC,13435,3.6,0.8,62.75,0.29,-6.01,-5.28,25345,4.6,0.6,67.85,0.26,4.11,5.57,0
VID,68,0.6,0.8,45.36,1.15,3.67,23.49,44,0.3,0.9,47.08,1.16,1.61,-6.32,0
VID,95,0.9,0.7,53.46,0.91,6.11,-3.52,68,0.6,0.8,45.36,1.15,3.67,23.49,0
VIP,96,0.4,2.2,31.09,0.32,12.38,9.44,67,0.3,3.2,24.5,0.43,5.8,53.69,0
VIP,45,0.7,3.6,26.43,0.46,1.47,41.13,96,0.4,2.2,31.09,0.32,12.38,9.44,0
VIS,547,2.3,0.7,81.6,1.41,0.74,-12.79,-137,2.2,1,80.76,1.77,-4.77,14.16,1
VIX,957,3.5,10.5,20.47,0.33,46.88,-188.33,432,3.4,16.5,17.3,0.34,45.68,-26.23,0
VJC,209,4.5,1.2,66.86,0.4,0.38,-10.62,4920,5.3,1.2,69.5,1.04,7.52,-5.97,0
VJC,985,4.1,1.7,67.37,0.25,0.62,-18.83,209,4.5,1.2,66.86,0.4,0.38,-10.62,0
VMD,58,0.9,0.5,95.62,2.18,0.2,2.14,67,1,0.4,96.24,2.03,0.18,0.98,0
VMD,46,1.6,0.5,92.8,2.23,0.17,-11.93,58,0.9,0.5,95.62,2.18,0.2,2.14,0
VND,3394,4,1.4,73.52,0.16,39.46,-48.98,1231,2.3,1.2,74.5,0.14,32.46,-18.96,0
VNE,26,0.5,0.9,52.51,0.62,1.08,8.64,30,0.3,1.3,31.52,0.86,0.81,1.77,0
VNE,49,1.3,0.6,70.63,0.57,0.45,11.83,26,0.5,0.9,52.51,0.62,1.08,8.64,0
VNG,88,1.4,1.3,46.88,0.21,4.56,1.28,108,1.9,0.6,50.7,0.43,4.04,6.08,0
VNG,73,1.2,1,51.31,0.08,1.65,-14.92,88,1.4,1.3,46.88,0.21,4.56,1.28,0
VNL,29,0.6,2.1,45.16,2.98,1.91,2.2,23,0.5,2.8,37.83,2.64,2.11,19.38,0
VNL,47,1,2.2,46.06,3.61,2.6,0.53,29,0.6,2.1,45.16,2.98,1.91,2.2,0
VNM,13663,6.6,1.7,30.53,1.23,18.84,68.85,12905,6.9,1.4,33.49,1.26,18.74,76.22,0
VNM,13011,5.1,1.7,32.78,1.14,17.45,53.95,13663,6.6,1.7,30.53,1.23,18.84,68.85,0
VNS,-175,0.5,1.6,27.89,0.49,-20.97,18.64,181,0.4,0.9,35.51,0.76,5.47,51.71,1
VNS,-259,0.6,2.7,23.22,0.31,-57.11,4.38,-175,0.5,1.6,27.89,0.49,-20.97,18.64,0
VOS,-65,0.6,0.8,81.8,0.46,-14.64,1.53,143,0.3,0.6,77.34,0.49,3.31,10.07,1
VOS,607,2.6,1.4,63.27,0.52,34.41,40.79,-65,0.6,0.8,81.8,0.46,-14.64,1.53,1
VPD,175,1.2,0.7,41.32,0.21,17.58,21.05,194,1.2,0.2,45.37,0.21,20.04,30.49,0
VPD,259,1.3,0.6,34.07,0.28,28.82,49.65,175,1.2,0.7,41.32,0.21,17.58,21.05,0
VPG,136,1.8,1,66.6,1.5,3.78,4.36,105,2.4,0.7,81.89,1.2,2.39,-19.89,0
VPG,563,4.6,1,61.7,1.62,10.9,18.76,136,1.8,1,66.6,1.5,3.78,4.36,0
VPH,52,0.4,1,50.29,0.13,5.2,-15.32,54,0.4,1.3,43.04,0.09,18.4,21.25,1
VPH,144,1.1,1.2,47.93,0.14,28.52,-8.44,52,0.4,1,50.29,0.13,5.2,-15.32,0
VPI,592,2.7,1,69.51,0.22,14.18,25.35,795,2.7,1.2,70.01,0.34,16.72,-12.12,0
VPI,496,3.7,0.9,65.49,0.27,13.18,8.37,592,2.7,1,69.51,0.22,14.18,25.35,0
VPS,21,1,1.5,33.4,1,2.76,24.85,23,0.7,1.3,38.05,1.12,2.3,14.49,0
VPS,22,1.1,1.7,29.6,1.16,2.72,40,21,1,1.5,33.4,1,2.76,24.85,0
VRC,1,0.5,0.2,25.1,0.01,0,-69.27,33,0.9,0.2,24.72,0.01,227.27,-85.75,0
VRE,3457,2.4,1.8,26.32,0.21,28.6,38.37,3875,2.9,0.9,24.79,0.26,30.8,35.42,0
VRE,2178,2.2,2.2,19.07,0.16,22.32,23.61,3457,2.4,1.8,26.32,0.21,28.6,38.37,0
VSC,336,1.9,3,11.68,0.69,17.53,184.32,357,0.9,2.4,13.5,0.75,15.95,138.08,0
VSC,483,1.8,5.3,8.27,0.58,21.88,238.89,336,1.9,3,11.68,0.69,17.53,184.32,0
VSH,237,1.2,0.2,65.58,0.04,55.13,3.7,179,1.6,0.4,65.2,0.04,39.75,3.2,0
VSH,774,1.6,0.7,59.96,0.16,24.02,12.55,237,1.2,0.2,65.58,0.04,55.13,3.7,0
VSI,48,0.9,1.1,68.8,0.44,6.57,12.17,50,1.3,1.2,69.13,0.65,5.19,0,0
VSI,78,1.2,1.9,59.51,0.48,19.46,5.33,48,0.9,1.1,68.8,0.44,6.57,12.17,0
VTB,34,0.6,1,31.05,1.5,5.88,46.32,22,0.8,1,38.25,1.08,4.44,5.51,0
VTB,9,0.7,1.7,26.39,1.22,2.45,109.86,34,0.6,1,31.05,1.5,5.88,46.32,0
VTO,123,0.5,1.2,38.35,0.65,6,41.46,163,0.4,0.9,41.3,0.77,6.53,37.87,0
VTO,188,0.8,1.8,34.62,0.54,13.64,38.82,123,0.5,1.2,38.35,0.65,6,41.46,0
YBM,31,0.7,0.9,58.94,1.13,3.04,13.62,31,0.5,0.8,58.95,1.02,3.05,13.36,0
YEG,-164,1.7,2,36.46,0.88,-14.77,-84.75,-369,1.2,2.2,32.61,0.96,-26.38,-79.55,0
YEG,120,0.9,2.7,36.08,0.79,2.78,-17.78,-164,1.7,2,36.46,0.88,-14.77,-84.75,0